分類名,小分類,大分類,分類コード
商業計 - 商業計,商業計,商業計,1
卸売業計 - 卸売業計,卸売業計,卸売業計,2
各種商品_卸 - 卸売業,各種商品_卸,卸売業,3
繊維品 - 卸売業,繊維品,卸売業,4
衣服･身の回り品 - 卸売業,衣服･身の回り品,卸売業,5
農畜産物･水産物 - 卸売業,農畜産物･水産物,卸売業,6
食料･飲料 - 卸売業,食料･飲料,卸売業,7
建築材料 - 卸売業,建築材料,卸売業,8
化学製品 - 卸売業,化学製品,卸売業,9
鉱物･金属材料 - 卸売業,鉱物･金属材料,卸売業,10
機械器具卸売業 - 卸売業,機械器具卸売業,卸売業,11
産業機械器具卸売業 - 卸売業,産業機械器具卸売業,卸売業,12
自動車卸売業 - 卸売業,自動車卸売業,卸売業,13
電気機械器具卸売業 - 卸売業,電気機械器具卸売業,卸売業,14
その他の機械器具卸売業 - 卸売業,その他の機械器具卸売業,卸売業,15
家具･建具･じゅう器 - 卸売業,家具･建具･じゅう器,卸売業,16
医薬品･化粧品 - 卸売業,医薬品･化粧品,卸売業,17
その他の卸売業 - 卸売業,その他の卸売業,卸売業,18
小売業計 - 小売業計,小売業計,小売業計,19
各種商品_小売 - 小売業,各種商品_小売,小売業,20
織物･衣服･身の回り品 - 小売業,織物･衣服･身の回り品,小売業,21
飲食料品 - 小売業,飲食料品,小売業,22
自動車 - 小売業,自動車,小売業,23
機械器具 - 小売業,機械器具,小売業,24
燃料 - 小売業,燃料,小売業,25
医薬品・化粧品 - 小売業,医薬品・化粧品,小売業,26
その他 - 小売業,その他,小売業,27
無店舗 - 小売業,無店舗,小売業,28
参考1 - 参考,参考1,参考,29
参考2 - 参考,参考2,参考,30
参考3 - 参考,参考3,参考,31
月 - NA,月,NA,NA
年 - NA,年,NA,NA
